[[[28816, 50000], [13601, 50000]]	,
[[28941, 50000], [13468, 50000]]	,
[[29010, 50000], [13372, 50000]]	,
[[28685, 50000], [13475, 50000]]	,
[[28760, 50000], [13446, 50000]]	,
[[28668, 50000], [13161, 50000]]	,
[[28774, 50000], [13341, 50000]]	,
[[29012, 50000], [13389, 50000]]	,
[[28598, 50000], [13402, 50000]]	,
[[28867, 50000], [13471, 50000]]	,
[[28799, 50000], [13379, 50000]]	,
[[28669, 50000], [13196, 50000]]	,
[[28856, 50000], [13449, 50000]]	,
[[28482, 50000], [13390, 50000]]	,
[[28629, 50000], [13482, 50000]]	,
[[28667, 50000], [13335, 50000]]	,
[[28854, 50000], [13407, 50000]]	,
[[28824, 50000], [13265, 50000]]	,
[[28658, 50000], [13459, 50000]]	,
[[28888, 50000], [13485, 50000]]	,
[[28699, 50000], [13339, 50000]]	,
[[28863, 50000], [13454, 50000]]	,
[[28700, 50000], [13544, 50000]]	,
[[28723, 50000], [13424, 50000]]	,
[[28940, 50000], [13444, 50000]]	,
[[28871, 50000], [13592, 50000]]	,
[[28940, 50000], [13518, 50000]]	,
[[28678, 50000], [13406, 50000]]	,
[[28657, 50000], [13390, 50000]]	,
[[28688, 50000], [13466, 50000]]	,
[[28782, 50000], [13599, 50000]]	,
[[28887, 50000], [13381, 50000]]	,
[[28660, 50000], [13525, 50000]]	,
[[28887, 50000], [13450, 50000]]	,
[[28839, 50000], [13423, 50000]]	,
[[28701, 50000], [13318, 50000]]	,
[[28725, 50000], [13560, 50000]]	,
[[28739, 50000], [13268, 50000]]	,
[[28675, 50000], [13450, 50000]]	,
[[28806, 50000], [13431, 50000]]	,
[[28940, 50000], [13574, 50000]]	,
[[28739, 50000], [13388, 50000]]	,
[[28771, 50000], [13431, 50000]]	,
[[28838, 50000], [13444, 50000]]	,
[[28841, 50000], [13514, 50000]]	,
[[28742, 50000], [13372, 50000]]	,
[[28751, 50000], [13273, 50000]]	,
[[28727, 50000], [13365, 50000]]	,
[[28733, 50000], [13465, 50000]]	,
[[28664, 50000], [13467, 50000]]	,
[[28885, 50000], [13365, 50000]]	,
[[28685, 50000], [13440, 50000]]	,
[[28889, 50000], [13333, 50000]]	,
[[28692, 50000], [13273, 50000]]	,
